iter	MultiClass
0	1.373920519
1	1.362515697
2	1.35130361
3	1.340794038
4	1.330843864
5	1.320477695
6	1.311437462
7	1.301735057
8	1.293086704
9	1.283817696
10	1.274780812
11	1.266571844
12	1.257901877
13	1.24967515
14	1.242104841
15	1.234506917
16	1.226923109
17	1.21925499
18	1.212238308
19	1.204563079
20	1.197558378
21	1.190836494
22	1.184246142
23	1.177916027
24	1.17169139
25	1.165307487
26	1.159971818
27	1.15393896
28	1.147889912
29	1.142444368
30	1.137018114
31	1.132043347
32	1.126150005
33	1.121515164
34	1.116446541
35	1.111500515
36	1.106971036
37	1.102284639
38	1.097281941
39	1.092410237
40	1.088177564
41	1.083889263
42	1.079004979
43	1.074879675
44	1.070920192
45	1.066731942
46	1.062875352
47	1.058802828
48	1.055258517
49	1.051475994
50	1.04822862
51	1.044587975
52	1.041203022
53	1.037413755
54	1.03391973
55	1.03074393
56	1.027953778
57	1.024471009
58	1.021252996
59	1.017804769
60	1.014498474
61	1.011072812
62	1.008364203
63	1.00551373
64	1.002412956
65	0.9993955043
66	0.9966418788
67	0.9940191487
68	0.9912172425
69	0.9881983962
70	0.9856335748
71	0.9828236073
72	0.9802832671
73	0.977555261
74	0.9749118572
75	0.9723620058
76	0.969784153
77	0.9670385519
78	0.9646309465
79	0.9620622579
80	0.9596967094
81	0.9570364981
82	0.9542780192
83	0.9515314784
84	0.948937632
85	0.9467550582
86	0.9445937635
87	0.9423544499
88	0.9402266405
89	0.9383493079
90	0.9357646506
91	0.9336609892
92	0.9315872465
93	0.9295626235
94	0.9272848827
95	0.9254473808
96	0.9233332292
97	0.9216035172
98	0.9193154849
99	0.9173111266
100	0.9155819882
101	0.9138027826
102	0.9122074
103	0.9100998722
104	0.9081641721
105	0.9064161464
106	0.9044350913
107	0.9029112067
108	0.9012208205
109	0.8995457895
110	0.8981752366
111	0.8965917731
112	0.8948631746
113	0.8932659322
114	0.8916232614
115	0.8898080595
116	0.887986213
117	0.886298002
118	0.8847240204
119	0.8832379819
120	0.8818343165
121	0.8805694677
122	0.8790485012
123	0.8774881256
124	0.8760392269
125	0.8745889847
126	0.8729573423
127	0.8713299112
128	0.869773123
129	0.8682437821
130	0.8666347902
131	0.8655926848
132	0.8640686606
133	0.8625582207
134	0.8610049087
135	0.8597744838
136	0.8582651569
137	0.8568476404
138	0.8552234971
139	0.8541748051
140	0.852632258
141	0.8515739607
142	0.8504913865
143	0.8492938109
144	0.8479858289
145	0.846678488
146	0.8454557089
147	0.8440501294
148	0.8428864498
149	0.8417817909
150	0.8405809223
151	0.8391910145
152	0.8378554972
153	0.8372662023
154	0.8361623
155	0.8349370468
156	0.8339649018
157	0.8329004303
158	0.8316790974
159	0.8303010619
160	0.8293677831
161	0.8284245906
162	0.8272118107
163	0.8263745452
164	0.8253594069
165	0.824716081
166	0.8234944378
167	0.8224237036
168	0.8212135626
169	0.8201636872
170	0.8190259674
171	0.817939268
172	0.816808911
173	0.8158894151
174	0.8146845315
175	0.8137281799
176	0.8125678828
177	0.8116698162
178	0.810631018
179	0.8098934026
180	0.8088518116
181	0.8077989213
182	0.8069918941
183	0.8058407889
184	0.8047595692
185	0.8037508517
186	0.8031176603
187	0.8020588199
188	0.800917731
189	0.7999048943
190	0.7988612113
191	0.7980008021
192	0.797124024
193	0.7957843305
194	0.7948795784
195	0.7936785073
196	0.7926181917
197	0.7916770344
198	0.7909347743
199	0.7899958693
200	0.7891635875
201	0.7881847358
202	0.787468233
203	0.7865021684
204	0.7856795575
205	0.7844870107
206	0.783585539
207	0.782736857
208	0.7819384205
209	0.7813296885
210	0.7801650658
211	0.7791669044
212	0.7782280378
213	0.7772967732
214	0.7766557351
215	0.7756467795
216	0.7749160756
217	0.773940532
218	0.7732201825
219	0.7723445867
220	0.7717893085
221	0.7709863822
222	0.7698167439
223	0.7690033488
224	0.7680352949
225	0.7671806588
226	0.7663277062
227	0.7653713635
228	0.7645504934
229	0.763801335
230	0.7628275487
231	0.7619545586
232	0.7610847025
233	0.7604655816
234	0.7596196876
235	0.7587924976
236	0.7580477175
237	0.7572508973
238	0.7566341222
239	0.7558963605
240	0.7550629668
241	0.7543231231
242	0.7535122136
243	0.7526942397
244	0.7519080528
245	0.7512689179
246	0.7505672925
247	0.7498100316
248	0.7490579313
249	0.7483938147
250	0.7479252872
251	0.7470857993
252	0.746317126
253	0.7454593334
254	0.7447451885
255	0.7439412046
256	0.7432717276
257	0.7425883301
258	0.7418705335
259	0.7412924018
260	0.7405045214
261	0.7397841968
262	0.7388304572
263	0.7381975152
264	0.7374532915
265	0.7368026411
266	0.7360437833
267	0.735289453
268	0.7346822329
269	0.7340124244
270	0.7335241006
271	0.732966236
272	0.7322453976
273	0.7316036338
274	0.730953417
275	0.7302802137
276	0.7296174086
277	0.7288083204
278	0.7280919796
279	0.7274261383
280	0.7268078074
281	0.726274973
282	0.7255144434
283	0.7248429336
284	0.724218155
285	0.7236434486
286	0.7230145987
287	0.7223346489
288	0.7216589105
289	0.7211877293
290	0.7204274344
291	0.7198733446
292	0.7193334598
293	0.7187517557
294	0.7181612669
295	0.717610876
296	0.7169618384
297	0.7163997066
298	0.715802983
299	0.7149261436
300	0.7143732168
301	0.7138127898
302	0.7130832861
303	0.7124344309
304	0.7116732196
305	0.7111120896
306	0.7105283655
307	0.7099285382
308	0.7093757127
309	0.7087222582
310	0.7082361267
311	0.7076753881
312	0.7070572644
313	0.7063588133
314	0.7057118462
315	0.7050212675
316	0.7044058557
317	0.703657484
318	0.703120677
319	0.7023494298
320	0.701840222
321	0.7011535601
322	0.7005654272
323	0.6999547047
324	0.6996335499
325	0.6991577006
326	0.6986006225
327	0.6979851598
328	0.6973013041
329	0.6966677896
330	0.6962047272
331	0.6955505294
332	0.6949611085
333	0.6944366395
334	0.6939148782
335	0.6934453893
336	0.6928948027
337	0.6922358675
338	0.6915715687
339	0.6908133191
340	0.6903231304
341	0.6896951327
342	0.6891835516
343	0.6885883169
344	0.6881103568
345	0.6875480511
346	0.6868636578
347	0.6862823553
348	0.6856888175
349	0.6850781208
350	0.6847111894
351	0.683998012
352	0.6834874138
353	0.6829345628
354	0.6823535712
355	0.6818159402
356	0.6814672805
357	0.6810142882
358	0.6803274959
359	0.679828647
360	0.6792830911
361	0.6788639126
362	0.6783215026
363	0.6778633298
364	0.6773893622
365	0.6769363466
366	0.6764310614
367	0.6760010015
368	0.6753356046
369	0.6746186964
370	0.6741242607
371	0.6737127882
372	0.6732524153
373	0.6726973051
374	0.6720669868
375	0.6715213549
376	0.67090911
377	0.6704216224
378	0.6699851867
379	0.6694591339
380	0.6690001148
381	0.6685921783
382	0.6679162328
383	0.6673313299
384	0.6667478864
385	0.6662339566
386	0.6658568168
387	0.6653478573
388	0.6648697773
389	0.6643765774
390	0.6639524839
391	0.6633721509
392	0.662758315
393	0.6623001781
394	0.6618727465
395	0.6614005885
396	0.6607630159
397	0.6602363602
398	0.6597314382
399	0.6591326664
400	0.6585013441
401	0.6579397007
402	0.6574317744
403	0.6569251781
404	0.6563815337
405	0.6558903447
406	0.6552653353
407	0.6548732667
408	0.6543087204
409	0.6537181653
410	0.6532039991
411	0.6527714439
412	0.6520534188
413	0.6516329311
414	0.6512263526
415	0.650746623
416	0.6500237225
417	0.6495614149
418	0.649035668
419	0.6486043855
420	0.6481255179
421	0.6474866176
422	0.6469678115
423	0.6465909217
424	0.6461626852
425	0.6457486286
426	0.6452566973
